"estudiante_id";"codigo";"nombre";"uc";"notaf";"notad";"tipoexamen";"seccion";"equivalenciainterna";"nombre";"ano";"nombre"
743;"0904002475";"ANTROPOLOGIA VENEZOLANA";2;"16";"16";"F";"A";f;"2010-01S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
60392;"0904002477";"PEDAGOGIA Y DIDACTICA";3;"12";"12";"F";"A";f;"2010-02S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
743;"0904002604";"NUTRICION EN SALUD PUBLICA";3;"AP";"11";"R";"A";f;"2010-01S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
60392;"0904002458";"FUNDAMENTOS DE ADMINISTRACION";3;"15";"15";"F";"A";f;"2010-01S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
743;"0904004001";"DIETOTERAPIA I";3;"AP";"07";"R";"A";f;"2010-02S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
60392;"0904004005";"TECNOLOGIA DE ALIMENTOS I";3;"11";"11";"F";"A";f;"2010-02S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
9280;"0904000639";"ADMINISTRACION DE SERVICIOS DE ALIMENTACION";4;"15";"15";"F";"A";f;"2010-01S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
60392;"0904002480";"TECNICA DIETETICA";4;"15";"15";"F";"A";f;"2010-01S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
9280;"0904000643";"PASANTIAS HOSPITALARIAS";20;"17";"17";"F";"A";f;"2010-02S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
60392;"0904004000";"NUTRICION EN PEDIATRIA II";3;"10";"10";"F";"A";f;"2010-02S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
26140;"0904003095";"CLINICA I";3;"AP";"11";"R";"A";f;"2010-01S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
74917;"0904000627";"BIOQUIMICA II";4;"11";"11";"F";"A";f;"2010-02S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
21252;"0904003099";"NUTRICION EN PEDIATRIA I";3;"AP";"08";"R";"A";f;"2010-02S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
74917;"0904000618";"BIOQUMICA I";4;"13";"13";"F";"A";f;"2010-01S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
38431;"0904004016";"NUTRICION Y DEPORTE";2;"RT";"RT";"F";"A";f;"2010-01S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
60392;"0904004010";"FARMACOLOGIA";2;"11";"11";"F";"A";f;"2010-01S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
43559;"0904003096";"CLINICA II";4;"16";"16";"F";"A";f;"2010-01S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
74917;"0904002467";"SOCIOANTROPOLOGIA";3;"18";"18";"F";"A";f;"2010-02S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
50953;"0904002496";"EDUCACION EN NUTRICION";3;"16";"16";"F";"A";f;"2010-02S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
74917;"0904002465";"BIOESTADISTICA";3;"17";"17";"F";"A";f;"2010-02S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
50953;"0904002511";"EVALUACION NUTRICIONAL";4;"16";"16";"F";"A";f;"2010-01S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
74917;"0904002723";"METODOLOGIA DEL ESTUDIO";2;"11";"11";"F";"A";f;"2010-01S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
58602;"0904002458";"FUNDAMENTOS DE ADMINISTRACION";3;"15";"15";"F";"A";f;"2010-02S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
74917;"0904003090";"HISTOLOGIA Y EMBRIOLOGIA";4;"16";"16";"F";"A";f;"2010-01S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
58602;"0904002478";"FUNDAMENTOS DE ECONOMIA POLITICA";2;"17";"17";"F";"A";f;"2010-01S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
60392;"0904003099";"NUTRICION EN PEDIATRIA I";3;"10";"10";"F";"A";f;"2010-01S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
50953;"0904002568";"DERECHO LABORAL EN SALUD PUBLICA";2;"18";"18";"F";"A";f;"2010-01S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
74857;"0904002473";"DEPORTES II";2;"18";"18";"F";"A";f;"2010-02S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
58602;"0904002480";"TECNICA DIETETICA";4;"13";"13";"F";"A";f;"2010-02S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
50958;"0904004009";"HIGIENE DE LOS ALIMENTOS";3;"12";"12";"F";"A";f;"2010-02S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
50953;"0904002605";"ADMINISTRACION SANITARIA";3;"16";"16";"F";"A";f;"2010-02S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
58474;"0904004009";"HIGIENE DE LOS ALIMENTOS";3;"11";"11";"F";"A";f;"2010-02S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
58602;"0904002488";"FISIOPATOLOGIA";4;"12";"12";"F";"A";f;"2010-01S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
74917;"0904003091";"ESTADISTICA";4;"19";"19";"F";"A";f;"2010-01S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
43559;"0904003097";"SISTEMA AGROALIMENTARIO VENEZOLANO";3;"13";"13";"F";"A";f;"2010-02S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
74917;"0904003092";"ANATOMIA";4;"17";"17";"F";"A";f;"2010-02S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
50953;"0904002811";"PLANIFICACION EN NUTRICION";3;"17";"17";"F";"A";f;"2010-02S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
74917;"0904002469";"INGLES I";2;"19";"19";"F";"A";f;"2010-01S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
50953;"0904003097";"SISTEMA AGROALIMENTARIO VENEZOLANO";3;"18";"18";"F";"A";f;"2010-01S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
60392;"0904003095";"CLINICA I";3;"11";"11";"F";"A";f;"2010-01S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
50953;"0904004001";"DIETOTERAPIA I";3;"12";"12";"F";"A";f;"2010-01S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
60392;"0904003096";"CLINICA II";4;"14";"14";"F";"A";f;"2010-02S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
50953;"0904004002";"DIETOTERAPIA II";3;"13";"13";"F";"A";f;"2010-02S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
60392;"0904002604";"NUTRICION EN SALUD PUBLICA";3;"11";"11";"F";"A";f;"2010-02S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
58602;"0904002752";"TECNICAS DE PRIMEROS AUXILIOS";2;"16";"16";"F";"A";f;"2010-01S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
127580;"0904002407";"PSICOLOGIA GENERAL Y EDUCATIVA";3;"13";"13";"F";"A";f;"2010-01S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
40090;"0904000643";"PASANTIAS HOSPITALARIAS";20;"19";"19";"F";"A";f;"2010-01S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
50705;"0904004001";"DIETOTERAPIA I";3;"13";"13";"F";"A";f;"2010-02S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
43559;"0904004000";"NUTRICION EN PEDIATRIA II";3;"10";"10";"F";"A";f;"2010-01S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
50705;"0904003096";"CLINICA II";4;"17";"17";"F";"A";f;"2010-01S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
50953;"0904004006";"TECNOLOGIA DE ALIMENTOS II";3;"16";"16";"F";"A";f;"2010-01S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
50705;"0904002511";"EVALUACION NUTRICIONAL";4;"17";"17";"F";"A";f;"2010-02S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
58602;"0904003094";"NUTRICION HUMANA II";4;"13";"13";"F";"A";f;"2010-01S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
50705;"0904002495";"DINAMICA DE GRUPOS DESARROLLO COMUNAL";2;"16";"16";"F";"A";f;"2010-01S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
58602;"0904003095";"CLINICA I";3;"13";"13";"F";"A";f;"2010-02S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
50958;"0904003094";"NUTRICION HUMANA II";4;"RT";"RT";"F";"A";f;"2010-02S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
43559;"0904004001";"DIETOTERAPIA I";3;"AP";"10";"R";"A";f;"2010-02S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
74857;"0904003091";"ESTADISTICA";4;"13";"13";"F";"A";f;"2010-01S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
50953;"0904004016";"NUTRICION Y DEPORTE";2;"18";"18";"F";"A";f;"2010-02S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
74857;"0904003090";"HISTOLOGIA Y EMBRIOLOGIA";4;"14";"14";"F";"A";f;"2010-01S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
61031;"0904002488";"FISIOPATOLOGIA";4;"AP";"05";"R";"A";f;"2010-01S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
74857;"0904002468";"DEPORTES I";2;"15";"15";"F";"A";f;"2010-01S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
58602;"0904003099";"NUTRICION EN PEDIATRIA I";3;"10";"10";"F";"A";f;"2010-02S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
74857;"0904002465";"BIOESTADISTICA";3;"AP";"12";"R";"A";f;"2010-02S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
50946;"0904000639";"ADMINISTRACION DE SERVICIOS DE ALIMENTACION";4;"15";"15";"F";"A";f;"2010-02S";2010;"LICENCIADO EN NUTRICIÓN Y DIETÉTICA"
